55971,Rushford,Minnesota ,FILLMORE,27,045,MN 
55972,Saint Charles,Minnesota ,WINONA,27,169,MN 
55976,Stewartville,Minnesota ,OLMSTED,27,109,MN 
55975,Spring Valley,Minnesota ,FILLMORE,27,045,MN 
55973,Sargeant,Minnesota ,MOWER,27,099,MN 
55977,Taopi,Minnesota ,MOWER,27,099,MN 
55981,Wabasha,Minnesota ,WABASHA,27,157,MN 
55979,Utica,Minnesota ,WINONA,27,169,MN 
55982,Waltham,Minnesota ,MOWER,27,099,MN 
55983,Wanamingo,Minnesota ,GOODHUE,27,049,MN 
55985,West Concord,Minnesota ,DODGE,27,039,MN 
55987,Winona,Minnesota ,WINONA,27,169,MN 
55988,Stockton,Minnesota ,WINONA,27,169,MN 
55991,Zumbro Falls,Minnesota ,WABASHA,27,157,MN 
55990,Wykoff,Minnesota ,FILLMORE,27,045,MN 
