39533,Biloxi,Mississippi ,HARRISON,28,047,MS 
39531,Biloxi,Mississippi ,HARRISON,28,047,MS 
39532,Biloxi,Mississippi ,HARRISON,28,047,MS 
39530,Biloxi,Mississippi ,HARRISON,28,047,MS 
39535,Biloxi,Mississippi ,HARRISON,28,047,MS 
39534,Biloxi,Mississippi ,HARRISON,28,047,MS 
39540,Diberville,Mississippi ,HARRISON,28,047,MS 
39552,Escatawpa,Mississippi ,JACKSON,28,059,MS 
39553,Gautier,Mississippi ,JACKSON,28,059,MS 
39556,Kiln,Mississippi ,HANCOCK,28,045,MS 
39558,Lakeshore,Mississippi ,HANCOCK,28,045,MS 
39561,Mc Henry,Mississippi ,STONE,28,131,MS 
39555,Hurley,Mississippi ,JACKSON,28,059,MS 
39560,Long Beach,Mississippi ,HARRISON,28,047,MS 
39562,Moss Point,Mississippi ,JACKSON,28,059,MS 
39563,Moss Point,Mississippi ,JACKSON,28,059,MS 
39565,Vancleave,Mississippi ,JACKSON,28,059,MS 
39568,Pascagoula,Mississippi ,JACKSON,28,059,MS 
39564,Ocean Springs,Mississippi ,JACKSON,28,059,MS 
39566,Ocean Springs,Mississippi ,JACKSON,28,059,MS 
39569,Pascagoula,Mississippi ,JACKSON,28,059,MS 
39567,Pascagoula,Mississippi ,JACKSON,28,059,MS 
39571,Pass Christian,Mississippi ,HARRISON,28,047,MS 
39572,Pearlington,Mississippi ,HANCOCK,28,045,MS 
39573,Perkinston,Mississippi ,STONE,28,131,MS 
39581,Pascagoula,Mississippi ,JACKSON,28,059,MS 
39576,Waveland,Mississippi ,HANCOCK,28,045,MS 
39595,Pascagoula,Mississippi ,JACKSON,28,059,MS 
