73735,Drummond,Oklahoma ,GARFIELD,40,047,OK 
73739,Goltry,Oklahoma ,ALFALFA,40,003,OK 
73741,Helena,Oklahoma ,ALFALFA,40,003,OK 
73743,Hillsdale,Oklahoma ,GARFIELD,40,047,OK 
73742,Hennessey,Oklahoma ,KINGFISHER,40,073,OK 
73749,Jet,Oklahoma ,ALFALFA,40,003,OK 
73747,Isabella,Oklahoma ,MAJOR,40,093,OK 
73744,Hitchcock,Oklahoma ,BLAINE,40,011,OK 
73750,Kingfisher,Oklahoma ,KINGFISHER,40,073,OK 
73746,Hopeton,Oklahoma ,WOODS,40,151,OK 
73753,Kremlin,Oklahoma ,GARFIELD,40,047,OK 
73755,Longdale,Oklahoma ,BLAINE,40,011,OK 
73757,Lucien,Oklahoma ,NOBLE,40,103,OK 
73754,Lahoma,Oklahoma ,GARFIELD,40,047,OK 
73759,Medford,Oklahoma ,GRANT,40,053,OK 
73758,Manchester,Oklahoma ,GRANT,40,053,OK 
73760,Meno,Oklahoma ,MAJOR,40,093,OK 
73756,Loyal,Oklahoma ,KINGFISHER,40,073,OK 
73771,Wakita,Oklahoma ,GRANT,40,053,OK 
73763,Okeene,Oklahoma ,BLAINE,40,011,OK 
73761,Nash,Oklahoma ,GRANT,40,053,OK 
73770,Southard,Oklahoma ,BLAINE,40,011,OK 
73762,Okarche,Oklahoma ,KINGFISHER,40,073,OK 
73768,Ringwood,Oklahoma ,MAJOR,40,093,OK 
73764,Omega,Oklahoma ,KINGFISHER,40,073,OK 
73766,Pond Creek,Oklahoma ,GRANT,40,053,OK 
73802,Woodward,Oklahoma ,WOODWARD,40,153,OK 
73834,Buffalo,Oklahoma ,HARPER,40,059,OK 
73832,Arnett,Oklahoma ,ELLIS,40,045,OK 
73835,Camargo,Oklahoma ,DEWEY,40,043,OK 
73801,Woodward,Oklahoma ,WOODWARD,40,153,OK 
73773,Waukomis,Oklahoma ,GARFIELD,40,047,OK 
73838,Chester,Oklahoma ,MAJOR,40,093,OK 
73772,Watonga,Oklahoma ,BLAINE,40,011,OK 
73840,Fargo,Oklahoma ,ELLIS,40,045,OK 
73844,Gate,Oklahoma ,BEAVER,40,007,OK 
73842,Freedom,Oklahoma ,WOODS,40,151,OK 
73851,May,Oklahoma ,HARPER,40,059,OK 
73841,Fort Supply,Oklahoma ,WOODWARD,40,153,OK 
73852,Mooreland,Oklahoma ,WOODWARD,40,153,OK 
73848,Laverne,Oklahoma ,HARPER,40,059,OK 
73843,Gage,Oklahoma ,ELLIS,40,045,OK 
73853,Mutual,Oklahoma ,WOODWARD,40,153,OK 
73858,Shattuck,Oklahoma ,ELLIS,40,045,OK 
73855,Rosston,Oklahoma ,HARPER,40,059,OK 
73931,Balko,Oklahoma ,BEAVER,40,007,OK 
73857,Sharon,Oklahoma ,WOODWARD,40,153,OK 
73860,Waynoka,Oklahoma ,WOODS,40,151,OK 
73859,Vici,Oklahoma ,DEWEY,40,043,OK 
73901,Adams,Oklahoma ,TEXAS,40,139,OK 
73932,Beaver,Oklahoma ,BEAVER,40,007,OK 
73933,Boise City,Oklahoma ,CIMARRON,40,025,OK 
73937,Felt,Oklahoma ,CIMARRON,40,025,OK 
73939,Goodwell,Oklahoma ,TEXAS,40,139,OK 
73942,Guymon,Oklahoma ,TEXAS,40,139,OK 
73944,Hardesty,Oklahoma ,TEXAS,40,139,OK 
73945,Hooker,Oklahoma ,TEXAS,40,139,OK 
73938,Forgan,Oklahoma ,BEAVER,40,007,OK 
73946,Kenton,Oklahoma ,CIMARRON,40,025,OK 
73947,Keyes,Oklahoma ,CIMARRON,40,025,OK 
73949,Texhoma,Oklahoma ,TEXAS,40,139,OK 
74003,Bartlesville,Oklahoma ,WASHINGTON,40,147,OK 
74001,Avant,Oklahoma ,OSAGE,40,113,OK 
74002,Barnsdall,Oklahoma ,OSAGE,40,113,OK 
73950,Turpin,Oklahoma ,BEAVER,40,007,OK 
73951,Tyrone,Oklahoma ,TEXAS,40,139,OK 
74004,Bartlesville,Oklahoma ,WASHINGTON,40,147,OK 
74005,Bartlesville,Oklahoma ,WASHINGTON,40,147,OK 
74006,Bartlesville,Oklahoma ,WASHINGTON,40,147,OK 
74011,Broken Arrow,Oklahoma ,TULSA,40,143,OK 
74008,Bixby,Oklahoma ,TULSA,40,143,OK 
74010,Bristow,Oklahoma ,CREEK,40,037,OK 
74013,Broken Arrow,Oklahoma ,TULSA,40,143,OK 
74012,Broken Arrow,Oklahoma ,TULSA,40,143,OK 
74014,Broken Arrow,Oklahoma ,WAGONER,40,145,OK 
74015,Catoosa,Oklahoma ,ROGERS,40,131,OK 
74016,Chelsea,Oklahoma ,ROGERS,40,131,OK 
74018,Claremore,Oklahoma ,ROGERS,40,131,OK 
74019,Claremore,Oklahoma ,ROGERS,40,131,OK 
74020,Cleveland,Oklahoma ,PAWNEE,40,117,OK 
74023,Cushing,Oklahoma ,PAYNE,40,119,OK 
74021,Collinsville,Oklahoma ,TULSA,40,143,OK 
74017,Claremore,Oklahoma ,ROGERS,40,131,OK 
74026,Davenport,Oklahoma ,LINCOLN,40,081,OK 
74022,Copan,Oklahoma ,WASHINGTON,40,147,OK 
74028,Depew,Oklahoma ,CREEK,40,037,OK 
74027,Delaware,Oklahoma ,NOWATA,40,105,OK 
74030,Drumright,Oklahoma ,CREEK,40,037,OK 
74034,Hallett,Oklahoma ,PAWNEE,40,117,OK 
74033,Glenpool,Oklahoma ,TULSA,40,143,OK 
74029,Dewey,Oklahoma ,WASHINGTON,40,147,OK 
74031,Foyil,Oklahoma ,ROGERS,40,131,OK 
74032,Glencoe,Oklahoma ,PAYNE,40,119,OK 
74035,Hominy,Oklahoma ,OSAGE,40,113,OK 
74036,Inola,Oklahoma ,ROGERS,40,131,OK 
74038,Jennings,Oklahoma ,PAWNEE,40,117,OK 
74037,Jenks,Oklahoma ,TULSA,40,143,OK 
74042,Lenapah,Oklahoma ,NOWATA,40,105,OK 
74041,Kiefer,Oklahoma ,CREEK,40,037,OK 
74043,Leonard,Oklahoma ,TULSA,40,143,OK 
74039,Kellyville,Oklahoma ,CREEK,40,037,OK 
74044,Mannford,Oklahoma ,CREEK,40,037,OK 
74045,Maramec,Oklahoma ,PAWNEE,40,117,OK 
74050,Oakhurst,Oklahoma ,TULSA,40,143,OK 
74051,Ochelata,Oklahoma ,WASHINGTON,40,147,OK 
74047,Mounds,Oklahoma ,CREEK,40,037,OK 
74046,Milfay,Oklahoma ,CREEK,40,037,OK 
74048,Nowata,Oklahoma ,NOWATA,40,105,OK 
74052,Oilton,Oklahoma ,CREEK,40,037,OK 
74054,Osage,Oklahoma ,OSAGE,40,113,OK 
74053,Oologah,Oklahoma ,ROGERS,40,131,OK 
74055,Owasso,Oklahoma ,TULSA,40,143,OK 
74060,Prue,Oklahoma ,OSAGE,40,113,OK 
74058,Pawnee,Oklahoma ,PAWNEE,40,117,OK 
74056,Pawhuska,Oklahoma ,OSAGE,40,113,OK 
74059,Perkins,Oklahoma ,PAYNE,40,119,OK 
74061,Ramona,Oklahoma ,WASHINGTON,40,147,OK 
74062,Ripley,Oklahoma ,PAYNE,40,119,OK 
74063,Sand Springs,Oklahoma ,TULSA,40,143,OK 
74066,Sapulpa,Oklahoma ,CREEK,40,037,OK 
74067,Sapulpa,Oklahoma ,CREEK,40,037,OK 
74068,Shamrock,Oklahoma ,CREEK,40,037,OK 
74071,Slick,Oklahoma ,CREEK,40,037,OK 
74074,Stillwater,Oklahoma ,PAYNE,40,119,OK 
74072,S Coffeyville,Oklahoma ,NOWATA,40,105,OK 
74073,Sperry,Oklahoma ,TULSA,40,143,OK 
74070,Skiatook,Oklahoma ,TULSA,40,143,OK 
74075,Stillwater,Oklahoma ,PAYNE,40,119,OK 
74076,Stillwater,Oklahoma ,PAYNE,40,119,OK 
74077,Stillwater,Oklahoma ,PAYNE,40,119,OK 
74078,Stillwater,Oklahoma ,PAYNE,40,119,OK 
74082,Vera,Oklahoma ,WASHINGTON,40,147,OK 
74080,Talala,Oklahoma ,ROGERS,40,131,OK 
